Competitorid,Competitorname,Gender,Nationcode,Skiclub,HPpoints,HPpos
163159,FERREIRA Alex,M,USA,Aspen Valley Ski and Snowboard Club,1000.0,1.0
190662,IRVING Birk,M,USA,Winter Park Competition Center,1000.0,2.0
234610,FAULHABER Hanna,W,USA,Aspen Valley ski and Snowboard Club,834.7,4.0
186707,HESS Hunter,M,USA,Mt Bachelor Ski Education Foundation,826.4,6.0
213604,IRVING Svea,W,USA,Winter Park Competition Center,606.5,8.0
224238,JACOBS Riley,W,USA,Vail Development Team,543.1,9.0
169927,BLUNCK Aaron,M,USA,Crested Butte Mtn Sports Team,399.6,15.0
249251,GRAY Kathryn,W,USA,Mammoth Mountain Ski and Snowboard Team,362.85,13.0
257311,ARNOLD Piper,W,USA,Sierra at Tahoe,215.35,17.0
236601,GEISER Nick,M,USA,Aspen Valley Ski and Snowboard Club,180.95,30.0
219882,LADD Connor,M,USA,Winter Park Competition Center,180.15,31.0
265273,MAYTIN Hunter,M,USA,Aspen Valley Ski and Snowboard Club,147.9,37.0
260354,WISCHMEYER Evan,M,USA,Team Summit Colorado,141.35,38.0
240224,FETHKE Ben,M,USA,Park City Ski and Snowboard,125.55,40.0
215941,BOURGOIN Nathaniel,M,USA,Ski and Snowboard Club Vail,123.5,41.0
212764,CAREY Hunter,M,USA,Winter Park competition center,113.6,44.0
251844,LEAVITT Marley,W,USA,Ski and Snowboard Club Vail,108.85,26.0
263148,WINTERBERGER Mack,M,USA,Olympic Valley Freestyle Freeride Team,86.4,54.0
280842,WINTERBERGER Abby,W,USA,Olympic Valley Freestyle Freeride Team,85.5,31.0
280069,KELLY Keva,W,USA,Olympic Valley Freestyle Freeride Team,72.7,34.0
194117,RUBOCKI Nikita,W,USA,Park City Ski and Snowboard,67.35,37.0
245639,KRUSIEWSKI Elaina,W,USA,Vail Development Team,65.25,38.0
267628,WORTHINGTON Izzy Lola,W,USA,Park City Ski and Snowboard,65.05,39.0
280718,LAMM Hanna,W,USA,Aspen Valley Ski and Snowboard Club,59.9,41.0
268362,SMITH Tatym,W,USA,Mt Bachelor Ski Education Foundation,52.85,44.0
264001,MCKIBBIN Owen,M,USA,Team Summit Colorado,48.6,64.0
273815,CAMPBELL Emily,W,USA,Mammoth Mountain Ski and Snowboard Team,42.0,50.0
259977,BROGDEN Liam,M,USA,Ski and Snowboard Club Vail,41.45,66.0
273814,CAMPBELL Ethan,M,USA,Mammoth Mountain Ski and Snowboard Team,39.15,69.0
257995,NELSON Owen,M,USA,Aspen Valley Ski and Snowboard Club,36.35,72.0
257935,KEENAN Kenna,W,USA,Ski and Snowboard Club Vail,32.4,53.0
280965,HUTCHINSON Ryder,M,USA,Aspen Valley Ski and Snowboard Club,31.05,80.0
249344,HIGASHI Hayden,M,USA,Mammoth Mountain Ski and Snowboard Team,29.75,82.0
274674,HILLEKE Dax,M,USA,Aspen Valley Ski and Snowboard Club,29.6,84.0
261888,GABRIELSON Kieran,M,USA,Park City Ski and Snowboard,29.55,85.0
260177,HAERING Taylor,W,USA,Mammoth Mountain Ski and Snowboard Team,29.0,55.0
257004,GRIPPI Emma,W,USA,Ski and Snowboard Club Vail,26.0,58.0
273792,TALEON Olivia,W,USA,Mammoth Mountain Ski and Snowboard Team,22.55,60.0
280104,NICK Joey,M,USA,Summit Action Sports,21.9,94.0
231415,RICCOMINI Jay,W,USA,Park City Ski and Snowboard,19.82,63.0
258238,PYLE Kainoa,M,USA,Mt Bachelor Ski Education Foundation,18.75,97.0
