Competitorid,Competitorname,Gender,Nationcode,Skiclub,HPpoints,HPpos
163159,FERREIRA Alex,M,USA,Aspen Valley Ski and Snowboard Club,1000.0,1.0
190662,IRVING Birk,M,USA,Winter Park Competition Center,1000.0,2.0
186707,HESS Hunter,M,USA,Mt Bachelor Ski Education Foundation,826.4,6.0
169927,BLUNCK Aaron,M,USA,Crested Butte Mtn Sports Team,399.6,15.0
236601,GEISER Nick,M,USA,Aspen Valley Ski and Snowboard Club,180.95,30.0
234610,FAULHABER Hanna,W,USA,Aspen Valley ski and Snowboard Club,834.7,4.0
213604,IRVING Svea,W,USA,Winter Park Competition Center,606.5,8.0
224238,JACOBS Riley,W,USA,Vail Development Team,543.1,9.0
249251,GRAY Kathryn,W,USA,Mammoth Mountain Ski and Snowboard Team,362.85,13.0
257311,ARNOLD Piper,W,USA,Sierra at Tahoe,215.35,17.0
